system,n_gt,n_hyp,n_matched,label_recall,label_precision,start_mae_ms,end_mae_ms,boundary_mae_ms,dur_mae_ms,mean_iou,tbe_20ms,tbe_50ms,singer,canonical_stem
MFA,71,69,69,0.971830985915493,1.0,29.08695652173913,27.072463768115963,28.079710144927546,46.536231884058,0.5970714170038062,0.5217391304347826,0.18840579710144928,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0001
MFA,71,69,69,0.971830985915493,1.0,29.08695652173913,27.072463768115963,28.079710144927546,46.536231884058,0.5970714170038062,0.5217391304347826,0.18840579710144928,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0001
MFA,60,60,60,1.0,1.0,13.700000000000065,15.0333333333334,14.366666666666733,21.666666666666767,0.7296826281013846,0.3,0.016666666666666666,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0002
MFA,60,60,60,1.0,1.0,13.700000000000065,15.0333333333334,14.366666666666733,21.666666666666767,0.7296826281013846,0.3,0.016666666666666666,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0002
MFA,60,60,60,1.0,1.0,13.700000000000065,15.0333333333334,14.366666666666733,21.666666666666767,0.7296826281013846,0.3,0.016666666666666666,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0002
MFA,60,60,60,1.0,1.0,13.700000000000065,15.0333333333334,14.366666666666733,21.666666666666767,0.7296826281013846,0.3,0.016666666666666666,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0002
MFA,106,66,100,0.9433962264150944,1.5151515151515151,43.59,39.88000000000002,41.73500000000001,77.73000000000003,0.4998880932098482,0.72,0.3,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0003
MFA,106,66,100,0.9433962264150944,1.5151515151515151,43.59,39.88000000000002,41.73500000000001,77.73000000000003,0.4998880932098482,0.72,0.3,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0003
MFA,106,66,100,0.9433962264150944,1.5151515151515151,43.59,39.88000000000002,41.73500000000001,77.73000000000003,0.4998880932098482,0.72,0.3,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0003
MFA,106,66,100,0.9433962264150944,1.5151515151515151,43.59,39.88000000000002,41.73500000000001,77.73000000000003,0.4998880932098482,0.72,0.3,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0003
MFA,55,37,52,0.9454545454545454,1.4054054054054055,45.92307692307689,41.96153846153839,43.94230769230764,76.53846153846149,0.5428080834530269,0.5961538461538461,0.3269230769230769,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0004
MFA,55,37,52,0.9454545454545454,1.4054054054054055,45.92307692307689,41.96153846153839,43.94230769230764,76.53846153846149,0.5428080834530269,0.5961538461538461,0.3269230769230769,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0004
MFA,55,37,52,0.9454545454545454,1.4054054054054055,45.92307692307689,41.96153846153839,43.94230769230764,76.53846153846149,0.5428080834530269,0.5961538461538461,0.3269230769230769,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0004
MFA,55,37,52,0.9454545454545454,1.4054054054054055,45.92307692307689,41.96153846153839,43.94230769230764,76.53846153846149,0.5428080834530269,0.5961538461538461,0.3269230769230769,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0004
MFA,64,61,60,0.9375,0.9836065573770492,14.366666666666681,19.6166666666667,16.99166666666669,28.349999999999998,0.7199680356872864,0.31666666666666665,0.08333333333333333,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0005
MFA,64,60,62,0.96875,1.0333333333333334,22.225806451612918,22.854838709677455,22.540322580645192,39.72580645161293,0.6680698765849771,0.3387096774193548,0.16129032258064516,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0006
MFA,34,33,34,1.0,1.0303030303030303,12.23529411764703,13.676470588235262,12.955882352941146,22.676470588235265,0.7810000970700394,0.20588235294117646,0.029411764705882353,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0007
MFA,34,33,34,1.0,1.0303030303030303,12.23529411764703,13.676470588235262,12.955882352941146,22.676470588235265,0.7810000970700394,0.20588235294117646,0.029411764705882353,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0007
MFA,34,33,34,1.0,1.0303030303030303,12.23529411764703,13.676470588235262,12.955882352941146,22.676470588235265,0.7810000970700394,0.20588235294117646,0.029411764705882353,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0007
MFA,34,33,34,1.0,1.0303030303030303,12.23529411764703,13.676470588235262,12.955882352941146,22.676470588235265,0.7810000970700394,0.20588235294117646,0.029411764705882353,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0007
MFA,53,52,53,1.0,1.0192307692307692,20.603773584905653,20.84905660377357,20.72641509433961,32.24528301886788,0.6359591595072841,0.37735849056603776,0.11320754716981132,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0008
MFA,53,52,53,1.0,1.0192307692307692,20.603773584905653,20.84905660377357,20.72641509433961,32.24528301886788,0.6359591595072841,0.37735849056603776,0.11320754716981132,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0008
MFA,53,52,53,1.0,1.0192307692307692,20.603773584905653,20.84905660377357,20.72641509433961,32.24528301886788,0.6359591595072841,0.37735849056603776,0.11320754716981132,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0008
MFA,53,52,53,1.0,1.0192307692307692,20.603773584905653,20.84905660377357,20.72641509433961,32.24528301886788,0.6359591595072841,0.37735849056603776,0.11320754716981132,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0008
MFA,53,52,53,1.0,1.0192307692307692,10.339622641509468,14.566037735849095,12.452830188679279,18.943396226415118,0.7434679276768917,0.18867924528301888,0.018867924528301886,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0009
MFA,53,52,53,1.0,1.0192307692307692,10.339622641509468,14.566037735849095,12.452830188679279,18.943396226415118,0.7434679276768917,0.18867924528301888,0.018867924528301886,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0009
MFA,53,52,53,1.0,1.0192307692307692,10.339622641509468,14.566037735849095,12.452830188679279,18.943396226415118,0.7434679276768917,0.18867924528301888,0.018867924528301886,EN-Alto-1,en-alto-1_pharyngeal_who_says_paired_speech_group_0009
